scheme_name,amc_name,sub_category,return_1y_pct,return_3y_pct_cagr,return_5y_pct_cagr,expense_ratio,aum_crore
SBI Bluechip Fund,SBI,Large Cap,14.2,13.1,12.8,0.98,42000
SBI Small Cap Fund,SBI,Small Cap,22.5,19.8,18.2,1.53,28000
SBI Magnum Midcap Fund,SBI,Mid Cap,18.9,17.2,15.9,1.21,18000
HDFC Top 100 Fund,HDFC,Large Cap,13.8,12.9,12.5,1.03,38000
HDFC Mid-Cap Opportunities Fund,HDFC,Mid Cap,19.2,17.8,16.4,1.28,62000
HDFC Small Cap Fund,HDFC,Small Cap,23.1,20.4,18.8,1.58,32000
ICICI Pru Bluechip Fund,ICICI,Large Cap,14.5,13.5,13.0,0.95,55000
ICICI Pru Midcap Fund,ICICI,Mid Cap,18.5,16.9,15.8,1.19,42000
Nippon India Large Cap Fund,Nippon,Large Cap,13.5,12.8,12.3,1.08,25000
Nippon India Growth Fund,Nippon,Mid Cap,17.9,16.5,15.2,1.35,22000
Nippon India Small Cap Fund,Nippon,Small Cap,21.8,19.2,17.8,1.55,48000
Axis Bluechip Fund,Axis,Large Cap,12.8,11.9,11.5,0.55,32000
Axis Midcap Fund,Axis,Mid Cap,18.2,16.8,15.5,0.62,28000
Mirae Asset Large Cap Fund,Mirae,Large Cap,14.8,13.8,13.2,0.54,38000
Mirae Asset Emerging Bluechip Fund,Mirae,Large & Mid Cap,19.5,18.1,16.9,0.58,42000
UTI Nifty 50 Index Fund,UTI,Index,13.6,12.9,12.6,0.18,15000
